link;price;title;title_short;annotation;diameter;width;et;pcd;type;dia;retail_price;brand;img;img_full;img_links;img_count;seller
https://baza.drom.ru/vladivostok/wheel/disc/new-dipovye-volk-racing-te37-sl-r18-9j-10j-11j-5-114.3-60825976.html;28900;NEW! Диповые Volk Racing TE37 SL R18 9j/10j/11j 5*114.3;Диповые Volk Racing TE37 SL R18 9j/10j/11j 5*114.3;"10.0/11.0x18"", 5x114.30, ET18/18, ЦО 73,1мм.";"18""";"10.0/11.0""";18/18мм;114.30x5;Литой;73,1 мм.;33900;ROTA VOLK RACING TE37 SL;https://static.baza.farpost.ru/drom/1518005907891_bulletin;https://static.baza.farpost.ru/drom/1518005907891_default;https://static.baza.farpost.ru/drom/1518005907891_default https://static.baza.farpost.ru/drom/1518005908070_default https://static.baza.farpost.ru/drom/1518005908607_default https://static.baza.farpost.ru/drom/1518005909158_default https://static.baza.farpost.ru/drom/1518005909693_default https://static.baza.farpost.ru/drom/1518005910230_default https://static.baza.farpost.ru/drom/1518005910827_default https://static.baza.farpost.ru/drom/1518005911978_default https://static.baza.farpost.ru/drom/1518005912628_default https://static.baza.farpost.ru/drom/1518005913271_default https://static.baza.farpost.ru/drom/1518005913878_default https://static.baza.farpost.ru/drom/1518005914423_default https://static.baza.farpost.ru/drom/1518005914953_default https://static.baza.farpost.ru/drom/1518005915496_default https://static.baza.farpost.ru/drom/1518005916099_default https://static.baza.farpost.ru/drom/1518005916722_default https://static.baza.farpost.ru/drom/1518005917370_default https://static.baza.farpost.ru/drom/1518005918009_default https://static.baza.farpost.ru/drom/1518005918735_default;19;Aniku
https://baza.drom.ru/vladivostok/wheel/disc/new-raznoshirokie-advan-rg2-r18-9.0-10.0-j-5-114.3-e004-e005-66113178.html;31900;NEW! Разноширокие Advan RG2 R18 9.0/10.0j 5*114.3 (E004* E005*);Разноширокие Advan RG2 R18 9.0/10.0j 5*114.3 (E004* E005*);"9.0/10.0x18"", 5x114.30, ET25/25, ЦО 73,0мм.";"18""";"9.0/10.0""";25/25мм;114.30x5;Литой;73,0 мм.;36900;Advan Racing RGII;https://static.baza.farpost.ru/drom/1535724430527_bulletin;https://static.baza.farpost.ru/drom/1535724430527_default;https://static.baza.farpost.ru/drom/1535724430527_default https://static.baza.farpost.ru/drom/1535724430714_default https://static.baza.farpost.ru/drom/1535724432767_default https://static.baza.farpost.ru/drom/1535724434853_default https://static.baza.farpost.ru/drom/1535724437125_default https://static.baza.farpost.ru/drom/1535724439219_default https://static.baza.farpost.ru/drom/1535724442594_default https://static.baza.farpost.ru/drom/1535723992271_default https://static.baza.farpost.ru/drom/1535723992382_default https://static.baza.farpost.ru/drom/1535762083836_default;10;Aniku
https://baza.drom.ru/vladivostok/wheel/disc/new-xxr-527-r18-8.75-9.75-j-et-30-20-5-114.3-100-h022-h023-49698752.html;32900;NEW! XXR 527 R18 8.75 / 9.75j ET+30/+20 5*114.3/100 (H022-H023);XXR 527 R18 8.75 / 9.75j ET+30/+20 5*114.3/100 (H022-H023);"8.75/9.75x18"", 5x100.00, 5x114.30, ET30/20, ЦО 73,0мм.";"18""";"8.75/9.75""";30/20мм;100.00x5,114.30x5;Литой;73,0 мм.;37900;XXR;https://static.baza.farpost.ru/drom/1511343512034_bulletin;https://static.baza.farpost.ru/drom/1511343512034_default;https://static.baza.farpost.ru/drom/1511343512034_default https://static.baza.farpost.ru/drom/1511343512151_default https://static.baza.farpost.ru/drom/1511343513959_default https://static.baza.farpost.ru/drom/1511343513348_default https://static.baza.farpost.ru/drom/1511343517975_default https://static.baza.farpost.ru/drom/1511343518775_default https://static.baza.farpost.ru/drom/1511343516572_default https://static.baza.farpost.ru/drom/1511343517353_default https://static.baza.farpost.ru/drom/1511343515221_default https://static.baza.farpost.ru/drom/1511343514586_default https://static.baza.farpost.ru/drom/1511343515898_default https://static.baza.farpost.ru/drom/1511343519410_default https://static.baza.farpost.ru/drom/1511343520720_default https://static.baza.farpost.ru/drom/1511343520068_default https://static.baza.farpost.ru/drom/1511343512774_default https://static.baza.farpost.ru/drom/1404824341415_default https://static.baza.farpost.ru/drom/1404824342830_default https://static.baza.farpost.ru/drom/1404824348975_default https://static.baza.farpost.ru/drom/1518493473692_default https://static.baza.farpost.ru/drom/1404824350595_default https://static.baza.farpost.ru/drom/1404824347811_default;21;Aniku
https://baza.drom.ru/vladivostok/wheel/disc/dipovye-work-emotion-cr-kiwami-r17-7.5-jj-et-35-5-100-114.3-1l028-64037063.html;23900;Диповые Work Emotion CR Kiwami R17 7.5jj ET+35 5*100/114.3 (1L028);Диповые Work Emotion CR Kiwami R17 7.5jj ET+35 5*100/114.3 (1L028);"7.5x17"", 5x100.00, 5x114.30, ET35, ЦО 73,1мм.";"17""";"7.5""";35мм;100.00x5,114.30x5;Литой;73,1 мм.;28900;Work Emotion CR Kiwami;https://static.baza.farpost.ru/drom/1528358030169_bulletin;https://static.baza.farpost.ru/drom/1528358030169_default;https://static.baza.farpost.ru/drom/1528358030169_default https://static.baza.farpost.ru/drom/1528358030602_default https://static.baza.farpost.ru/drom/1528358029635_default https://static.baza.farpost.ru/drom/1528358029114_default https://static.baza.farpost.ru/drom/1528358031104_default https://static.baza.farpost.ru/drom/1528358031654_default https://static.baza.farpost.ru/drom/1528358032182_default https://static.baza.farpost.ru/drom/1528358032763_default https://static.baza.farpost.ru/drom/1528358033298_default https://static.baza.farpost.ru/drom/1528358028580_default https://static.baza.farpost.ru/drom/1528358033822_default https://static.baza.farpost.ru/drom/1528358034293_default;12;Aniku
https://baza.drom.ru/vladivostok/wheel/disc/new-rota-volk-racing-te37sl-r17-8j-9j-5-114.3-d147-d117-57566045.html;24900;NEW! ROTA / Volk Racing TE37SL R17 8j/9j 5*114.3 (D147 D117);ROTA / Volk Racing TE37SL R17 8j/9j 5*114.3 (D147 D117);"8.0/9.0x17"", 5x114.30, ET35/25, ЦО 73,1мм.";"17""";"8.0/9.0""";35/25мм;114.30x5;Литой;73,1 мм.;29900;ROTA VOLK RACING TE37 SL;https://static.baza.farpost.ru/drom/1520576094108_bulletin;https://static.baza.farpost.ru/drom/1520576094108_default;https://static.baza.farpost.ru/drom/1520576094108_default https://static.baza.farpost.ru/drom/1520576093220_default https://static.baza.farpost.ru/drom/1520576093312_default https://static.baza.farpost.ru/drom/1520576094682_default https://static.baza.farpost.ru/drom/1520576095513_default https://static.baza.farpost.ru/drom/1520576097720_default https://static.baza.farpost.ru/drom/1520576098457_default https://static.baza.farpost.ru/drom/1520576099052_default https://static.baza.farpost.ru/drom/1520576099674_default https://static.baza.farpost.ru/drom/1520576100286_default https://static.baza.farpost.ru/drom/1520576101161_default https://static.baza.farpost.ru/drom/1520576101906_default https://static.baza.farpost.ru/drom/1520576102519_default https://static.baza.farpost.ru/drom/1520576103183_default https://static.baza.farpost.ru/drom/1520576103825_default https://static.baza.farpost.ru/drom/1520576104413_default https://static.baza.farpost.ru/drom/1506594421687_default;17;Aniku
https://baza.drom.ru/vladivostok/wheel/disc/komplekt-diskov-advan-rs-r17-8.0-jj-et38-5-114.3-5-100-e050-55460020.html;23900;Комплект дисков Advan RS R17 8.0jj ET38 5*114.3 / 5*100 (E050);Advan RS R17 8.0jj ET38 5*114.3 / 5*100 (E050);"8.0x17"", 5x100.00, 5x114.30, ET38, ЦО 73,1мм.";"17""";"8.0""";38мм;100.00x5,114.30x5;Литой;73,1 мм.;28900;Advan;https://static.baza.farpost.ru/drom/1511342000625_bulletin;https://static.baza.farpost.ru/drom/1511342000625_default;https://static.baza.farpost.ru/drom/1511342000625_default https://static.baza.farpost.ru/drom/1511341999956_default https://static.baza.farpost.ru/drom/1511342002728_default https://static.baza.farpost.ru/drom/1511342003757_default https://static.baza.farpost.ru/drom/1511342004846_default https://static.baza.farpost.ru/drom/1511342005751_default https://static.baza.farpost.ru/drom/1511342001558_default https://static.baza.farpost.ru/drom/1499134026268_default https://static.baza.farpost.ru/drom/1499134092945_default https://static.baza.farpost.ru/drom/1499134092850_default;10;Aniku
https://baza.drom.ru/vladivostok/wheel/disc/new-komplekt-diskov-xxr-527-r17-8.25-j-30-5-114.3-100-h030-35458852.html;27900;NEW! Комплект дисков XXR 527 R17 8.25j +30 5*114.3/100 (H030);XXR 527 R17 8.25j +30 5*114.3/100 (H030);"8.25x17"", 5x100.00, 5x114.30, ET30, ЦО 73,0мм.";"17""";"8.25""";30мм;100.00x5,114.30x5;Литой;73,0 мм.;32900;XXR;https://static.baza.farpost.ru/drom/1511345344214_bulletin;https://static.baza.farpost.ru/drom/1511345344214_default;https://static.baza.farpost.ru/drom/1511345344214_default https://static.baza.farpost.ru/drom/1511345344861_default https://static.baza.farpost.ru/drom/1511345345493_default https://static.baza.farpost.ru/drom/1511345346146_default https://static.baza.farpost.ru/drom/1511345343610_default https://static.baza.farpost.ru/drom/1511345343606_default https://static.baza.farpost.ru/drom/1518493473692_default https://static.baza.farpost.ru/drom/1404824341307_default https://static.baza.farpost.ru/drom/1404824342830_default https://static.baza.farpost.ru/drom/1404824347811_default https://static.baza.farpost.ru/drom/1404824348975_default https://static.baza.farpost.ru/drom/1404824341415_default;12;Aniku
https://baza.drom.ru/vladivostok/wheel/disc/new-komplekt-diskov-work-equip-03-r15-7j-et30-4-100-l017-63967017.html;19900;NEW! Комплект дисков Work Equip 03 R15 7j ET30 4*100 (L017);Work Equip 03 R15 7j ET30 4*100 (L017);"7.0x15"", 4x100.00, ET30, ЦО 73,1мм.";"15""";"7.0""";30мм;100.00x4;Литой;73,1 мм.;24900;Work Equip 03;https://static.baza.farpost.ru/drom/1528172983667_bulletin;https://static.baza.farpost.ru/drom/1528172983667_default;https://static.baza.farpost.ru/drom/1528172983667_default https://static.baza.farpost.ru/drom/1528172982994_default https://static.baza.farpost.ru/drom/1528172984282_default https://static.baza.farpost.ru/drom/1528172980707_default https://static.baza.farpost.ru/drom/1528172980600_default https://static.baza.farpost.ru/drom/1528172981529_default https://static.baza.farpost.ru/drom/1528172982496_default https://static.baza.farpost.ru/drom/1528172984725_default https://static.baza.farpost.ru/drom/1528172985120_default https://static.baza.farpost.ru/drom/1528172985625_default https://static.baza.farpost.ru/drom/1528172981989_default https://static.baza.farpost.ru/drom/1528172986121_default https://static.baza.farpost.ru/drom/1527495421609_default https://static.baza.farpost.ru/drom/1527495421594_default https://static.baza.farpost.ru/drom/1527495422049_default;15;Aniku
https://baza.drom.ru/vladivostok/wheel/disc/new-komplekt-diskov-volk-racing-te37-sl-r16-7j-8j-5-100-d160-d136-63488294.html;21900;NEW Комплект дисков Volk Racing TE37 SL R16 7j/8j 5*100 (D160 D136);Volk Racing TE37 SL R16 7j/8j 5*100 (D160 D136);"7.0/8.0x16"", 5x100.00, ET35/28, ЦО 73,1мм.";"16""";"7.0/8.0""";35/28мм;100.00x5;Литой;73,1 мм.;26900;RAYS VOLK RACING TE37 SL;https://static.baza.farpost.ru/drom/1526565358407_bulletin;https://static.baza.farpost.ru/drom/1526565358407_default;https://static.baza.farpost.ru/drom/1526565358407_default https://static.baza.farpost.ru/drom/1526565358404_default https://static.baza.farpost.ru/drom/1526565359148_default https://static.baza.farpost.ru/drom/1526565360111_default https://static.baza.farpost.ru/drom/1526565360926_default https://static.baza.farpost.ru/drom/1526565361739_default https://static.baza.farpost.ru/drom/1526565362539_default https://static.baza.farpost.ru/drom/1526565363316_default https://static.baza.farpost.ru/drom/1526565364027_default https://static.baza.farpost.ru/drom/1526565364777_default https://static.baza.farpost.ru/drom/1526565365442_default https://static.baza.farpost.ru/drom/1526565366064_default https://static.baza.farpost.ru/drom/1526565382432_default https://static.baza.farpost.ru/drom/1526565382625_default https://static.baza.farpost.ru/drom/1526565383702_default https://static.baza.farpost.ru/drom/1526565384566_default https://static.baza.farpost.ru/drom/1526565385336_default https://static.baza.farpost.ru/drom/1526565386037_default https://static.baza.farpost.ru/drom/1526565400795_default https://static.baza.farpost.ru/drom/1526565401067_default https://static.baza.farpost.ru/drom/1526565401968_default https://static.baza.farpost.ru/drom/1526565402760_default https://static.baza.farpost.ru/drom/1526565403454_default https://static.baza.farpost.ru/drom/1526565404293_default https://static.baza.farpost.ru/drom/1526565405078_default;25;Aniku
https://baza.drom.ru/vladivostok/wheel/disc/new-komplekt-diskov-xxr-527-r17-8.25-j-30-5-114.3-100-h030-66112978.html;27900;NEW! Комплект дисков XXR 527 R17 8.25j +30 5*114.3/100 (H030);XXR 527 R17 8.25j +30 5*114.3/100 (H030);"8.25x17"", 5x100.00, 5x114.30, ET30, ЦО 73,0мм.";"17""";"8.25""";30мм;100.00x5,114.30x5;Литой;73,0 мм.;32900;XXR;https://static.baza.farpost.ru/drom/1535723596344_bulletin;https://static.baza.farpost.ru/drom/1535723596344_default;https://static.baza.farpost.ru/drom/1535723596344_default https://static.baza.farpost.ru/drom/1535723596630_default https://static.baza.farpost.ru/drom/1535723598100_default https://static.baza.farpost.ru/drom/1535723599405_default https://static.baza.farpost.ru/drom/1535723600669_default https://static.baza.farpost.ru/drom/1535723602301_default https://static.baza.farpost.ru/drom/1535723603712_default https://static.baza.farpost.ru/drom/1535723605282_default https://static.baza.farpost.ru/drom/1535723606864_default https://static.baza.farpost.ru/drom/1535723607909_default https://static.baza.farpost.ru/drom/1535723609267_default https://static.baza.farpost.ru/drom/1535723610369_default https://static.baza.farpost.ru/drom/1535723611387_default https://static.baza.farpost.ru/drom/1535723612253_default https://static.baza.farpost.ru/drom/1535723613316_default https://static.baza.farpost.ru/drom/1404824341307_default https://static.baza.farpost.ru/drom/1404824342830_default https://static.baza.farpost.ru/drom/1518493473692_default https://static.baza.farpost.ru/drom/1404824347811_default;19;Aniku
