link;price;title;title_short;annotation
https://baza.drom.ru/chita/wheel/disc/komplekt-diskov-xxr-527-62927868.html;21999;Комплект дисков XXR 527;XXR 527;"9.0x17"", 5x100.00, 5x114.30, ET28, ЦО 73,1мм."
https://baza.drom.ru/chita/wheel/disc/new-dip-shogun-a1-65896887.html;21999;New! Дип. Shogun A1;Дип. Shogun A1;"8.5/9.5x17"", 5x114.30, ET22/18, ЦО 73,1мм."
https://baza.drom.ru/chita/wheel/disc/komplekt-diskov-lexus-63602883.html;32999;Комплект дисков Lexus;Lexus;"8.0x19"", 5x114.30, ET35, ЦО 60,1мм."
https://baza.drom.ru/chita/wheel/disc/komplekt-diskov-raznoshirokie-bmw-64497565.html;27999;Комплект дисков Разноширокие BMW;Разноширокие BMW;"8.5/9.5x18"", 5x120.00, ET28/30, ЦО 72,6мм."
https://baza.drom.ru/chita/wheel/disc/new-bronza-shogun-a1-64849185.html;21999;New! Бронза. Shogun A1;Бронза. Shogun A1;"8.0x17"", 5x100.00, ET35, ЦО 73,1мм."
https://baza.drom.ru/chita/wheel/disc/new-enkei-66096670.html;26999;New! Enkei;Enkei;"8.5x18"", 5x114.30, ET35, ЦО 73,1мм."
https://baza.drom.ru/chita/wheel/disc/komplekt-diskov-rays-te37-60795435.html;21999;Комплект дисков Rays te37;Rays te37;"8.0x17"", 5x100.00, ET30, ЦО 73,1мм."
https://baza.drom.ru/chita/wheel/disc/new-komplekt-diskov-rays-te37-63199533.html;26999;New! Комплект дисков Rays te37;Rays te37;"10.0x18"", 5x114.30, ET27, ЦО 73,1мм."
https://baza.drom.ru/chita/wheel/disc/dip-bronza-shogun-a1-63246120.html;26999;Дип. Бронза. Shogun A1;Дип. Бронза. Shogun A1;"9.5/10.5x18"", 5x114.30, ET20/15, ЦО 73,1мм."
https://baza.drom.ru/chita/wheel/disc/komplekt-diskov-vossen-vfs2-63802289.html;27999;Комплект дисков Vossen VFS2;Vossen VFS2;"9.0x18"", 5x114.30, ET38, ЦО 73,1мм."
https://baza.drom.ru/chita/wheel/disc/new-work-cr-kai-65229631.html;15999;New! Work Cr-Kai;Work Cr-Kai;"8.25x15"", 4x100.00, 4x114.30, ET25, ЦО 73,1мм."
https://baza.drom.ru/chita/wheel/disc/new-dip-shogun-a1-65606915.html;21999;New! Дип. Shogun A1;Дип. Shogun A1;"9.5x17"", 5x114.30, ET18, ЦО 73,1мм."
https://baza.drom.ru/chita/wheel/disc/new-dip-shogun-a1-hiper-black-65906543.html;21999;New! Дип. Shogun A1 (Hiper black);Дип. Shogun A1 (Hiper black);"8.5x17"", 5x114.30, ET22, ЦО 73,1мм."
https://baza.drom.ru/chita/wheel/disc/new-rays-te37-65911304.html;17999;New! Rays te37;Rays te37;"7.0x16"", 4x98.00, 4x100.00, ET31, ЦО 73,1мм."
https://baza.drom.ru/chita/wheel/disc/new-dip-xxr-527-66245447.html;15999;New! Дип XXR 527;Дип XXR 527;"8.25x15"", 4x100.00, 4x114.30, ET0, ЦО 73,1мм."
https://baza.drom.ru/chita/wheel/disc/dip-shogun-a1-64215942.html;21999;Дип. Shogun A1;Дип. Shogun A1;"9.5x17"", 5x114.30, ET12, ЦО 73,1мм."
https://baza.drom.ru/chita/wheel/disc/new-rays-te37-65911209.html;17999;New! Rays te37;Rays te37;"7.0x16"", 4x98.00, 4x100.00, ET31, ЦО 73,1мм."
https://baza.drom.ru/chita/wheel/disc/new-rota-grid-te37-66096503.html;26999;New! Rota Grid TE37;Rota Grid TE37;"9.0x18"", 5x114.30, ET30, ЦО 73,1мм."
