link;price;title;title_short;annotation;diameter;width;et;pcd;type;dia;retail_price;brand;img;img_full;seller
https://baza.drom.ru/chita/wheel/disc/komplekt-diskov-xxr-527-62927868.html;21999;Комплект дисков XXR 527;XXR 527;"9.0x17"", 5x100.00, 5x114.30, ET28, ЦО 73,1мм.";"17""";"9.0""";28мм;100.00x5,114.30x5;Литой;73,1 мм.;26999;XXR;https://static.baza.farpost.ru/drom/1524526759692_bulletin;https://static.baza.farpost.ru/drom/1524526759692_default;Replika777
https://baza.drom.ru/chita/wheel/disc/new-dip-shogun-a1-65896887.html;21999;New! Дип. Shogun A1;Дип. Shogun A1;"8.5/9.5x17"", 5x114.30, ET22/18, ЦО 73,1мм.";"17""";"8.5/9.5""";22/18мм;114.30x5;Литой;73,1 мм.;26999;Shogun;https://static.baza.farpost.ru/drom/1534993470535_bulletin;https://static.baza.farpost.ru/drom/1534993470535_default;Replika777
https://baza.drom.ru/chita/wheel/disc/komplekt-diskov-lexus-63602883.html;32999;Комплект дисков Lexus;Lexus;"8.0x19"", 5x114.30, ET35, ЦО 60,1мм.";"19""";"8.0""";35мм;114.30x5;Литой;60,1 мм.;42999;Lexus;https://static.baza.farpost.ru/drom/1526973387059_bulletin;https://static.baza.farpost.ru/drom/1526973387059_default;Replika777
https://baza.drom.ru/chita/wheel/disc/komplekt-diskov-raznoshirokie-bmw-64497565.html;27999;Комплект дисков Разноширокие BMW;Разноширокие BMW;"8.5/9.5x18"", 5x120.00, ET28/30, ЦО 72,6мм.";"18""";"8.5/9.5""";28/30мм;120.00x5;Литой;72,6 мм.;32999;BMW;https://static.baza.farpost.ru/drom/1486701737092_bulletin;https://static.baza.farpost.ru/drom/1486701737092_default;Replika777
https://baza.drom.ru/chita/wheel/disc/new-bronza-shogun-a1-64849185.html;21999;New! Бронза. Shogun A1;Бронза. Shogun A1;"8.0x17"", 5x100.00, ET35, ЦО 73,1мм.";"17""";"8.0""";35мм;100.00x5;Литой;73,1 мм.;26999;Shogun;https://static.baza.farpost.ru/drom/1531208250942_bulletin;https://static.baza.farpost.ru/drom/1531208250942_default;Replika777
https://baza.drom.ru/chita/wheel/disc/new-enkei-66096670.html;26999;New! Enkei;Enkei;"8.5x18"", 5x114.30, ET35, ЦО 73,1мм.";"18""";"8.5""";35мм;114.30x5;Литой;73,1 мм.;31999;Enkei;https://static.baza.farpost.ru/drom/1535683995497_bulletin;https://static.baza.farpost.ru/drom/1535683995497_default;Replika777
https://baza.drom.ru/chita/wheel/disc/komplekt-diskov-rays-te37-60795435.html;21999;Комплект дисков Rays te37;Rays te37;"8.0x17"", 5x100.00, ET30, ЦО 73,1мм.";"17""";"8.0""";30мм;100.00x5;Литой;73,1 мм.;26999;RAYS;https://static.baza.farpost.ru/drom/1524750769372_bulletin;https://static.baza.farpost.ru/drom/1524750769372_default;Replika777
https://baza.drom.ru/chita/wheel/disc/new-komplekt-diskov-rays-te37-63199533.html;26999;New! Комплект дисков Rays te37;Rays te37;"10.0x18"", 5x114.30, ET27, ЦО 73,1мм.";"18""";"10.0""";27мм;114.30x5;Литой;73,1 мм.;31999;RAYS;https://static.baza.farpost.ru/drom/1517821879538_bulletin;https://static.baza.farpost.ru/drom/1517821879538_default;Replika777
https://baza.drom.ru/chita/wheel/disc/dip-bronza-shogun-a1-63246120.html;26999;Дип. Бронза. Shogun A1;Дип. Бронза. Shogun A1;"9.5/10.5x18"", 5x114.30, ET20/15, ЦО 73,1мм.";"18""";"9.5/10.5""";20/15мм;114.30x5;Литой;73,1 мм.;31999;Shogun;https://static.baza.farpost.ru/drom/1525778923164_bulletin;https://static.baza.farpost.ru/drom/1525778923164_default;Replika777
https://baza.drom.ru/chita/wheel/disc/komplekt-diskov-vossen-vfs2-63802289.html;27999;Комплект дисков Vossen VFS2;Vossen VFS2;"9.0x18"", 5x114.30, ET38, ЦО 73,1мм.";"18""";"9.0""";38мм;114.30x5;Литой;73,1 мм.;32999;Vossen;https://static.baza.farpost.ru/drom/1493273173001_bulletin;https://static.baza.farpost.ru/drom/1493273173001_default;Replika777
https://baza.drom.ru/chita/wheel/disc/new-work-cr-kai-65229631.html;15999;New! Work Cr-Kai;Work Cr-Kai;"8.25x15"", 4x100.00, 4x114.30, ET25, ЦО 73,1мм.";"15""";"8.25""";25мм;100.00x4,114.30x4;Литой;73,1 мм.;20999;Work;https://static.baza.farpost.ru/drom/1535086665671_bulletin;https://static.baza.farpost.ru/drom/1535086665671_default;Replika777
https://baza.drom.ru/chita/wheel/disc/new-dip-shogun-a1-65606915.html;21999;New! Дип. Shogun A1;Дип. Shogun A1;"9.5x17"", 5x114.30, ET18, ЦО 73,1мм.";"17""";"9.5""";18мм;114.30x5;Литой;73,1 мм.;26999;Shogun;https://static.baza.farpost.ru/drom/1535010349900_bulletin;https://static.baza.farpost.ru/drom/1535010349900_default;Replika777
https://baza.drom.ru/chita/wheel/disc/new-dip-shogun-a1-hiper-black-65906543.html;21999;New! Дип. Shogun A1 (Hiper black);Дип. Shogun A1 (Hiper black);"8.5x17"", 5x114.30, ET22, ЦО 73,1мм.";"17""";"8.5""";22мм;114.30x5;Литой;73,1 мм.;26999;Shogun;https://static.baza.farpost.ru/drom/1535010678328_bulletin;https://static.baza.farpost.ru/drom/1535010678328_default;Replika777
https://baza.drom.ru/chita/wheel/disc/new-rays-te37-65911304.html;17999;New! Rays te37;Rays te37;"7.0x16"", 4x98.00, 4x100.00, ET31, ЦО 73,1мм.";"16""";"7.0""";31мм;98.00x4,100.00x4;Литой;73,1 мм.;22999;RAYS;https://static.baza.farpost.ru/drom/1535020696123_bulletin;https://static.baza.farpost.ru/drom/1535020696123_default;Replika777
https://baza.drom.ru/chita/wheel/disc/new-dip-xxr-527-66245447.html;15999;New! Дип XXR 527;Дип XXR 527;"8.25x15"", 4x100.00, 4x114.30, ET0, ЦО 73,1мм.";"15""";"8.25""";0мм;100.00x4,114.30x4;Литой;73,1 мм.;20999;XXR;https://static.baza.farpost.ru/drom/1536204622859_bulletin;https://static.baza.farpost.ru/drom/1536204622859_default;Replika777
