link;price;title;title_short;annotation
https://baza.drom.ru/vladivostok/wheel/disc/topovye-diski-wald-jarret-r20-analog-na-lexus-lx570-lc200-tundra-63426827.html;43900;Топовые диски Wald Jarret R20 (аналог) на Lexus LX570 LC200 Tundra;Wald Jarret R20 (аналог) на Lexus LX570 LC200 Tundra;"10.0x20"", 5x150.00, ET0, ЦО 110,5мм."
https://baza.drom.ru/vladivostok/wheel/disc/novye-dipovye-js-401-rota-volk-racing-te37-sl-r17-59816397.html;24900;Новые! Диповые JS 401 Rota Volk Racing TE37 SL R17;Диповые JS 401 Rota Volk Racing TE37 SL R17;"8.0x17"", 5x114.30, ET35, ЦО 73,1мм."
https://baza.drom.ru/vladivostok/wheel/disc/novye-dipovye-js-105-hyper-r17-64794648.html;24900;Новые! Диповые JS 105 Hyper R17;Диповые JS 105 Hyper R17;"8.0x17"", 5x100.00, 5x114.30, ЦО 73,1мм."
https://baza.drom.ru/vladivostok/wheel/disc/novye-dipovye-js-401-rota-volk-racing-te37-sl-r16-64098883.html;21900;Новые! Диповые JS 401 Rota Volk Racing TE37 SL R16;Диповые JS 401 Rota Volk Racing TE37 SL R16;"7.0/8.0x16"", 4x100.00, 4x114.30, ET35/28, ЦО 73,1мм."
https://baza.drom.ru/vladivostok/wheel/disc/novinka-ultra-dipovye-js-107-hyper-bronze-white-64956493.html;29900;Новинка! Ультра диповые JS 107 Hyper / Bronze / White;Ультра диповые JS 107 Hyper / Bronze / White;"10.5x18"", 5x114.30, ET22, ЦО 73,1мм."
https://baza.drom.ru/vladivostok/wheel/disc/novye-dipovye-js-107-hyper-bronze-work-t7r-r17-64572104.html;24900;Новые! Диповые JS 107 Hyper / Bronze Work T7R R17;Диповые JS 107 Hyper / Bronze Work T7R R17;"8.0x17"", 5x100.00, 5x114.30, ET38, ЦО 73,1мм."
https://baza.drom.ru/vladivostok/wheel/disc/novye-dipovye-js-107-hyper-bronze-work-t7r-r17-64572349.html;24900;Новые! Диповые JS 107 Hyper / Bronze Work T7R R17;Диповые JS 107 Hyper / Bronze Work T7R R17;"8.0x17"", 4x100.00, 4x114.30, ET38, ЦО 73,1мм."
https://baza.drom.ru/vladivostok/wheel/disc/novye-zlye-dipovye-diski-js-107-hyper-work-t7r-r18-62397614.html;27900;Новые! Злые диповые диски JS 107 Hyper Work T7R R18;диповые диски JS 107 Hyper Work T7R R18;"9.5x18"", 5x114.30, ЦО 73,1мм."
https://baza.drom.ru/vladivostok/wheel/disc/novye-dipovye-js-101e-work-cr-kiwami-r17-101-2013-63223055.html;23900;Новые! Диповые JS 101E Work CR Kiwami R17 (101-2013);Диповые JS 101E Work CR Kiwami R17 (101-2013);"8.0x17"", 5x100.00, 5x114.30, ET35"
https://baza.drom.ru/vladivostok/wheel/disc/novye-raznoshirokie-js-401-rota-volk-racing-te37-r16-401-6701-0013-63986843.html;21900;Новые! Разноширокие JS 401 Rota Volk Racing TE37 R16 (401-6701/0013);Разноширокие JS 401 Rota Volk Racing TE37 R16 (401-6701/0013);"7.0/8.0x16"", 4x100.00, 4x114.30, ET35/28, ЦО 73,1мм."
https://baza.drom.ru/vladivostok/wheel/disc/novye-raznoshirokie-js-101e-work-cr-kiwami-r18-101-2003-2004-63222974.html;27900;Новые! Разноширокие JS 101E Work CR Kiwami R18 (101-2003/2004);Разноширокие JS 101E Work CR Kiwami R18 (101-2003/2004);"8.5/9.5x18"", 5x100.00, 5x114.30, ET35/30"
https://baza.drom.ru/vladivostok/wheel/disc/novye-dipovye-js-101e-work-cr-kiwami-r18-101-2003-63222969.html;27900;Новые! Диповые JS 101E Work CR Kiwami R18 (101-2003);Диповые JS 101E Work CR Kiwami R18 (101-2003);"8.5x18"", 5x100.00, 5x114.30, ET35"
https://baza.drom.ru/vladivostok/wheel/disc/novye-dipovye-js-101e-work-cr-kiwami-r18-101-2004-63222962.html;27900;Новые! Диповые JS 101E Work CR Kiwami R18 (101-2004);Диповые JS 101E Work CR Kiwami R18 (101-2004);"9.5x18"", 5x100.00, 5x114.30, ET30"
https://baza.drom.ru/vladivostok/wheel/disc/novye-dipovye-js-401-rota-volk-racing-te37-r17-401-0025-r-60827214.html;24900;Новые! Диповые JS 401 Rota Volk Racing TE37 R17 (401-0025 R);Диповые JS 401 Rota Volk Racing TE37 R17 (401-0025 R);"8.0x17"", 5x114.30, ET35, ЦО 73,1мм."
https://baza.drom.ru/vladivostok/wheel/disc/novye-vossen-vfs-2-silver-machined-r17-502-0011-63986691.html;21900;Новые! Vossen VFS-2 Silver Machined R17 (502-0011);Vossen VFS-2 Silver Machined R17 (502-0011);"7.5x17"", 4x100.00, 4x114.30, ET42, ЦО 73,1мм."
https://baza.drom.ru/vladivostok/wheel/disc/novye-dipovye-js-101e-work-cr-kiwami-r18-hyper-101-2002-63222834.html;27900;Новые! Диповые JS 101E Work CR Kiwami R18 Hyper (101-2002);Диповые JS 101E Work CR Kiwami R18 Hyper (101-2002);"9.5x18"", 5x100.00, 5x114.30, ET30"
https://baza.drom.ru/vladivostok/wheel/disc/sale-novye-js-406-work-meister-r17-406-0001-58652753.html;22900;SALE! Новые! JS 406 Work Meister R17 (406-0001);JS 406 Work Meister R17 (406-0001);"8.5x17"", 5x114.30, ET25"
https://baza.drom.ru/vladivostok/wheel/disc/novye-raznoshirokie-js-102-gunmetal-r18-102-0001-0002-55765014.html;31900;Новые! Разноширокие JS 102 Gunmetal R18 (102-0001/0002);Разноширокие JS 102 Gunmetal R18 (102-0001/0002);"9.5/10.5x18"", 5x120.00, ET22/15"
