link;price;title;title_short;annotation;diameter;width;et;pcd;type;dia;retail_price;brand;img;img_full;img_links;img_count;seller
https://baza.drom.ru/vladivostok/wheel/disc/topovye-diski-wald-jarret-r20-analog-na-lexus-lx570-lc200-tundra-63426827.html;43900;Топовые диски Wald Jarret R20 (аналог) на Lexus LX570 LC200 Tundra;Wald Jarret R20 (аналог) на Lexus LX570 LC200 Tundra;"10.0x20"", 5x150.00, ET0, ЦО 110,5мм.";"20""";"10.0""";0мм;150.00x5;Литой;110,5 мм.;53900;Wald Jarret;https://static.baza.farpost.ru/drom/1528475694247_bulletin;https://static.baza.farpost.ru/drom/1528475694247_default;https://static.baza.farpost.ru/drom/1528475694247_default https://static.baza.farpost.ru/drom/1528475694426_default https://static.baza.farpost.ru/drom/1528475694862_default https://static.baza.farpost.ru/drom/1528475695292_default https://static.baza.farpost.ru/drom/1528475695293_default https://static.baza.farpost.ru/drom/1528475695927_default https://static.baza.farpost.ru/drom/1528475696340_default https://static.baza.farpost.ru/drom/1528475696779_default https://static.baza.farpost.ru/drom/1528475697197_default https://static.baza.farpost.ru/drom/1528475697670_default https://static.baza.farpost.ru/drom/1528475698084_default https://static.baza.farpost.ru/drom/1527927381991_default https://static.baza.farpost.ru/drom/1527927382395_default https://static.baza.farpost.ru/drom/1527927382966_default https://static.baza.farpost.ru/drom/1527927383365_default https://static.baza.farpost.ru/drom/1524552652568_default https://static.baza.farpost.ru/drom/1527927383812_default https://static.baza.farpost.ru/drom/1527927426546_default https://static.baza.farpost.ru/drom/1527927426697_default https://static.baza.farpost.ru/drom/1527927427141_default https://static.baza.farpost.ru/drom/1527927438639_default https://static.baza.farpost.ru/drom/1524552667540_default https://static.baza.farpost.ru/drom/1524553204196_default https://static.baza.farpost.ru/drom/1528475678848_default https://static.baza.farpost.ru/drom/1528475678857_default https://static.baza.farpost.ru/drom/1528475679312_default https://static.baza.farpost.ru/drom/1528475679753_default;27;WorldWheels
https://baza.drom.ru/vladivostok/wheel/disc/novye-dipovye-js-401-rota-volk-racing-te37-sl-r17-59816397.html;24900;Новые! Диповые JS 401 Rota Volk Racing TE37 SL R17;Диповые JS 401 Rota Volk Racing TE37 SL R17;"8.0x17"", 5x114.30, ET35, ЦО 73,1мм.";"17""";"8.0""";35мм;114.30x5;Литой;73,1 мм.;29900;ROTA VOLK RACING TE37 SL;https://static.baza.farpost.ru/drom/1528912452002_bulletin;https://static.baza.farpost.ru/drom/1528912452002_default;https://static.baza.farpost.ru/drom/1528912452002_default https://static.baza.farpost.ru/drom/1528912452211_default https://static.baza.farpost.ru/drom/1528912452735_default https://static.baza.farpost.ru/drom/1528912453158_default https://static.baza.farpost.ru/drom/1528912453589_default https://static.baza.farpost.ru/drom/1528912454033_default https://static.baza.farpost.ru/drom/1528912454436_default https://static.baza.farpost.ru/drom/1528912454880_default https://static.baza.farpost.ru/drom/1524658982965_default https://static.baza.farpost.ru/drom/1524659009773_default https://static.baza.farpost.ru/drom/1524659051835_default https://static.baza.farpost.ru/drom/1514218534111_default https://static.baza.farpost.ru/drom/1514218532467_default https://static.baza.farpost.ru/drom/1514218533025_default https://static.baza.farpost.ru/drom/1528912496711_default https://static.baza.farpost.ru/drom/1528912496775_default https://static.baza.farpost.ru/drom/1528912497570_default https://static.baza.farpost.ru/drom/1528912499270_default https://static.baza.farpost.ru/drom/1529312082114_default;19;WorldWheels
https://baza.drom.ru/vladivostok/wheel/disc/novye-dipovye-js-105-hyper-r17-64794648.html;24900;Новые! Диповые JS 105 Hyper R17;Диповые JS 105 Hyper R17;"8.0x17"", 5x100.00, 5x114.30, ЦО 73,1мм.";"17""";"8.0""";;100.00x5,114.30x5;Литой;73,1 мм.;29900;JS;https://static.baza.farpost.ru/drom/1530961642219_bulletin;https://static.baza.farpost.ru/drom/1530961642219_default;https://static.baza.farpost.ru/drom/1530961642219_default https://static.baza.farpost.ru/drom/1530961642725_default https://static.baza.farpost.ru/drom/1530961643538_default https://static.baza.farpost.ru/drom/1530961644267_default https://static.baza.farpost.ru/drom/1530961644920_default https://static.baza.farpost.ru/drom/1530961645561_default https://static.baza.farpost.ru/drom/1530961646129_default https://static.baza.farpost.ru/drom/1530961646778_default https://static.baza.farpost.ru/drom/1530961647318_default https://static.baza.farpost.ru/drom/1530961647879_default https://static.baza.farpost.ru/drom/1530961648304_default https://static.baza.farpost.ru/drom/1530961648707_default https://static.baza.farpost.ru/drom/1530961649123_default https://static.baza.farpost.ru/drom/1530961649538_default https://static.baza.farpost.ru/drom/1530961649959_default https://static.baza.farpost.ru/drom/1530961650376_default https://static.baza.farpost.ru/drom/1530961650818_default https://static.baza.farpost.ru/drom/1530961651261_default https://static.baza.farpost.ru/drom/1530961651679_default;19;WorldWheels
https://baza.drom.ru/vladivostok/wheel/disc/novye-dipovye-js-401-rota-volk-racing-te37-sl-r16-64098883.html;21900;Новые! Диповые JS 401 Rota Volk Racing TE37 SL R16;Диповые JS 401 Rota Volk Racing TE37 SL R16;"7.0/8.0x16"", 4x100.00, 4x114.30, ET35/28, ЦО 73,1мм.";"16""";"7.0/8.0""";35/28мм;100.00x4,114.30x4;Литой;73,1 мм.;26900;RAYS VOLK RACING TE37 SL;https://static.baza.farpost.ru/drom/1528556609259_bulletin;https://static.baza.farpost.ru/drom/1528556609259_default;https://static.baza.farpost.ru/drom/1528556609259_default https://static.baza.farpost.ru/drom/1528556608370_default https://static.baza.farpost.ru/drom/1528556609724_default https://static.baza.farpost.ru/drom/1528556610228_default https://static.baza.farpost.ru/drom/1528556611959_default https://static.baza.farpost.ru/drom/1528556608811_default https://static.baza.farpost.ru/drom/1528556612420_default https://static.baza.farpost.ru/drom/1528556613080_default https://static.baza.farpost.ru/drom/1528556610800_default https://static.baza.farpost.ru/drom/1528556611317_default https://static.baza.farpost.ru/drom/1528556607521_default https://static.baza.farpost.ru/drom/1528556607079_default https://static.baza.farpost.ru/drom/1528556606962_default https://static.baza.farpost.ru/drom/1528556724946_default https://static.baza.farpost.ru/drom/1528556724976_default https://static.baza.farpost.ru/drom/1528556725358_default;16;WorldWheels
https://baza.drom.ru/vladivostok/wheel/disc/novinka-ultra-dipovye-js-107-hyper-bronze-white-64956493.html;29900;Новинка! Ультра диповые JS 107 Hyper / Bronze / White;Ультра диповые JS 107 Hyper / Bronze / White;"10.5x18"", 5x114.30, ET22, ЦО 73,1мм.";"18""";"10.5""";22мм;114.30x5;Литой;73,1 мм.;34900;Work Emotion;https://static.baza.farpost.ru/drom/1535127385555_bulletin;https://static.baza.farpost.ru/drom/1535127385555_default;https://static.baza.farpost.ru/drom/1535127385555_default https://static.baza.farpost.ru/drom/1535127389512_default https://static.baza.farpost.ru/drom/1531576688266_default https://static.baza.farpost.ru/drom/1531576688505_default https://static.baza.farpost.ru/drom/1531576689034_default https://static.baza.farpost.ru/drom/1531576689438_default https://static.baza.farpost.ru/drom/1531576689992_default https://static.baza.farpost.ru/drom/1531576690526_default https://static.baza.farpost.ru/drom/1531576690942_default https://static.baza.farpost.ru/drom/1531576691371_default https://static.baza.farpost.ru/drom/1531576691789_default https://static.baza.farpost.ru/drom/1531576692265_default https://static.baza.farpost.ru/drom/1531576692703_default https://static.baza.farpost.ru/drom/1531576693140_default https://static.baza.farpost.ru/drom/1531576693582_default https://static.baza.farpost.ru/drom/1531576694031_default https://static.baza.farpost.ru/drom/1531576694461_default https://static.baza.farpost.ru/drom/1531576694923_default https://static.baza.farpost.ru/drom/1531576695348_default https://static.baza.farpost.ru/drom/1531576695793_default https://static.baza.farpost.ru/drom/1535127386128_default https://static.baza.farpost.ru/drom/1535127386694_default https://static.baza.farpost.ru/drom/1535127387220_default https://static.baza.farpost.ru/drom/1535127387522_default https://static.baza.farpost.ru/drom/1535127387859_default https://static.baza.farpost.ru/drom/1535127388245_default https://static.baza.farpost.ru/drom/1535127388711_default https://static.baza.farpost.ru/drom/1535127389065_default https://static.baza.farpost.ru/drom/1535127389835_default;29;WorldWheels
https://baza.drom.ru/vladivostok/wheel/disc/novye-dipovye-js-107-hyper-bronze-work-t7r-r17-64572104.html;24900;Новые! Диповые JS 107 Hyper / Bronze Work T7R R17;Диповые JS 107 Hyper / Bronze Work T7R R17;"8.0x17"", 5x100.00, 5x114.30, ET38, ЦО 73,1мм.";"17""";"8.0""";38мм;100.00x5,114.30x5;Литой;73,1 мм.;29900;Work Emotion;https://static.baza.farpost.ru/drom/1530204012385_bulletin;https://static.baza.farpost.ru/drom/1530204012385_default;https://static.baza.farpost.ru/drom/1530204012385_default https://static.baza.farpost.ru/drom/1530204011950_default https://static.baza.farpost.ru/drom/1530204012899_default https://static.baza.farpost.ru/drom/1530204011355_default https://static.baza.farpost.ru/drom/1530204011143_default https://static.baza.farpost.ru/drom/1530204013729_default https://static.baza.farpost.ru/drom/1530203089946_default https://static.baza.farpost.ru/drom/1530203105815_default https://static.baza.farpost.ru/drom/1530203122923_default https://static.baza.farpost.ru/drom/1530203126484_default https://static.baza.farpost.ru/drom/1530203126955_default https://static.baza.farpost.ru/drom/1530203127439_default https://static.baza.farpost.ru/drom/1530203127893_default https://static.baza.farpost.ru/drom/1530203128359_default https://static.baza.farpost.ru/drom/1530204036746_default https://static.baza.farpost.ru/drom/1530204036863_default https://static.baza.farpost.ru/drom/1530204037263_default https://static.baza.farpost.ru/drom/1530204037303_default https://static.baza.farpost.ru/drom/1530204037758_default https://static.baza.farpost.ru/drom/1530204038416_default https://static.baza.farpost.ru/drom/1530204038868_default https://static.baza.farpost.ru/drom/1530204039303_default https://static.baza.farpost.ru/drom/1530204039773_default https://static.baza.farpost.ru/drom/1530204040197_default;24;WorldWheels
https://baza.drom.ru/vladivostok/wheel/disc/novye-dipovye-js-107-hyper-bronze-work-t7r-r17-64572349.html;24900;Новые! Диповые JS 107 Hyper / Bronze Work T7R R17;Диповые JS 107 Hyper / Bronze Work T7R R17;"8.0x17"", 4x100.00, 4x114.30, ET38, ЦО 73,1мм.";"17""";"8.0""";38мм;100.00x4,114.30x4;Литой;73,1 мм.;29900;Work Emotion;https://static.baza.farpost.ru/drom/1530206285628_bulletin;https://static.baza.farpost.ru/drom/1530206285628_default;https://static.baza.farpost.ru/drom/1530206285628_default https://static.baza.farpost.ru/drom/1530206285173_default https://static.baza.farpost.ru/drom/1530206284110_default https://static.baza.farpost.ru/drom/1530206284612_default https://static.baza.farpost.ru/drom/1530206283274_default https://static.baza.farpost.ru/drom/1530206283666_default https://static.baza.farpost.ru/drom/1530206278527_default https://static.baza.farpost.ru/drom/1530206278936_default https://static.baza.farpost.ru/drom/1530206279372_default https://static.baza.farpost.ru/drom/1530206279823_default https://static.baza.farpost.ru/drom/1530206280273_default https://static.baza.farpost.ru/drom/1530206280673_default https://static.baza.farpost.ru/drom/1530206281097_default https://static.baza.farpost.ru/drom/1530206281497_default https://static.baza.farpost.ru/drom/1530206281953_default https://static.baza.farpost.ru/drom/1530206282372_default https://static.baza.farpost.ru/drom/1530206282796_default https://static.baza.farpost.ru/drom/1530206277165_default https://static.baza.farpost.ru/drom/1530206276690_default https://static.baza.farpost.ru/drom/1530206277778_default https://static.baza.farpost.ru/drom/1530206276398_default;21;WorldWheels
https://baza.drom.ru/vladivostok/wheel/disc/novye-zlye-dipovye-diski-js-107-hyper-work-t7r-r18-62397614.html;27900;Новые! Злые диповые диски JS 107 Hyper Work T7R R18;диповые диски JS 107 Hyper Work T7R R18;"9.5x18"", 5x114.30, ЦО 73,1мм.";"18""";"9.5""";;114.30x5;Литой;73,1 мм.;32900;Work Emotion;https://static.baza.farpost.ru/drom/1528488145575_bulletin;https://static.baza.farpost.ru/drom/1528488145575_default;https://static.baza.farpost.ru/drom/1528488145575_default https://static.baza.farpost.ru/drom/1528488145247_default https://static.baza.farpost.ru/drom/1523116746853_default https://static.baza.farpost.ru/drom/1523116745714_default https://static.baza.farpost.ru/drom/1523116744475_default https://static.baza.farpost.ru/drom/1523116745070_default https://static.baza.farpost.ru/drom/1523116743854_default https://static.baza.farpost.ru/drom/1523116741208_default https://static.baza.farpost.ru/drom/1523116740582_default https://static.baza.farpost.ru/drom/1523116739958_default https://static.baza.farpost.ru/drom/1523116738769_default https://static.baza.farpost.ru/drom/1523116739332_default https://static.baza.farpost.ru/drom/1523116738423_default https://static.baza.farpost.ru/drom/1523193467373_default https://static.baza.farpost.ru/drom/1523193467902_default https://static.baza.farpost.ru/drom/1523193468491_default https://static.baza.farpost.ru/drom/1528965977790_default https://static.baza.farpost.ru/drom/1527486467757_default https://static.baza.farpost.ru/drom/1527486468201_default https://static.baza.farpost.ru/drom/1527486468638_default https://static.baza.farpost.ru/drom/1527486469058_default https://static.baza.farpost.ru/drom/1527486469523_default https://static.baza.farpost.ru/drom/1527486469997_default https://static.baza.farpost.ru/drom/1528965958911_default https://static.baza.farpost.ru/drom/1527486470826_default https://static.baza.farpost.ru/drom/1536586579079_default https://static.baza.farpost.ru/drom/1536586579145_default https://static.baza.farpost.ru/drom/1536586580040_default https://static.baza.farpost.ru/drom/1536586580498_default https://static.baza.farpost.ru/drom/1536586580981_default;30;WorldWheels
https://baza.drom.ru/vladivostok/wheel/disc/novye-dipovye-js-101e-work-cr-kiwami-r17-101-2013-63223055.html;23900;Новые! Диповые JS 101E Work CR Kiwami R17 (101-2013);Диповые JS 101E Work CR Kiwami R17 (101-2013);"8.0x17"", 5x100.00, 5x114.30, ET35";"17""";"8.0""";35мм;100.00x5,114.30x5;Литой;;28900;Work Emotion CR-KAI;https://static.baza.farpost.ru/drom/1526245827038_bulletin;https://static.baza.farpost.ru/drom/1526245827038_default;https://static.baza.farpost.ru/drom/1526245827038_default https://static.baza.farpost.ru/drom/1526245827291_default https://static.baza.farpost.ru/drom/1526245827945_default https://static.baza.farpost.ru/drom/1526245828694_default https://static.baza.farpost.ru/drom/1526245829347_default https://static.baza.farpost.ru/drom/1526245830007_default https://static.baza.farpost.ru/drom/1526245830653_default https://static.baza.farpost.ru/drom/1526245831368_default https://static.baza.farpost.ru/drom/1526245832028_default https://static.baza.farpost.ru/drom/1526245832714_default;10;WorldWheels
https://baza.drom.ru/vladivostok/wheel/disc/novye-raznoshirokie-js-401-rota-volk-racing-te37-r16-401-6701-0013-63986843.html;21900;Новые! Разноширокие JS 401 Rota Volk Racing TE37 R16 (401-6701/0013);Разноширокие JS 401 Rota Volk Racing TE37 R16 (401-6701/0013);"7.0/8.0x16"", 4x100.00, 4x114.30, ET35/28, ЦО 73,1мм.";"16""";"7.0/8.0""";35/28мм;100.00x4,114.30x4;Литой;73,1 мм.;26900;RAYS VOLK RACING TE37 SL;https://static.baza.farpost.ru/drom/1506671262312_bulletin;https://static.baza.farpost.ru/drom/1506671262312_default;https://static.baza.farpost.ru/drom/1506671262312_default https://static.baza.farpost.ru/drom/1506671263535_default https://static.baza.farpost.ru/drom/1506671265233_default https://static.baza.farpost.ru/drom/1506671266716_default https://static.baza.farpost.ru/drom/1506671267784_default https://static.baza.farpost.ru/drom/1506671268829_default https://static.baza.farpost.ru/drom/1506671270351_default https://static.baza.farpost.ru/drom/1506671271862_default https://static.baza.farpost.ru/drom/1506671272757_default https://static.baza.farpost.ru/drom/1506671274028_default https://static.baza.farpost.ru/drom/1506671275055_default https://static.baza.farpost.ru/drom/1506671276028_default;12;WorldWheels
