annotation;brand;brand_known;dia;diameter;et;holes;img;img_full;link;model;name_product;pcd;price;retail_price;retail_price_one;seller;title;title_short;type;width
"10.0x20"", 5x150.00, ET0, ЦО 110,5мм.";Wald Jarret;Wald;110.5;20;0;5;https://static.baza.farpost.ru/drom/1528475694247_bulletin;https://static.baza.farpost.ru/drom/1528475694247_default;https://baza.drom.ru/vladivostok/wheel/disc/topovye-diski-wald-jarret-r20-analog-na-lexus-lx570-lc200-tundra-63426827.html;Jarret;"10.0x20"", 5x150.0, ЦО110.5 Wald Jarret ";150.0;43900;53900;13475;WorldWheels;Топовые диски Wald Jarret R20 (аналог) на Lexus LX570 LC200 Tundra;Wald Jarret;Литой;10.0
"8.0x17"", 5x114.30, ET35, ЦО 73,1мм.";ROTA VOLK RACING TE37 SL;VOLK;73.1;17;35;5;https://static.baza.farpost.ru/drom/1528912452002_bulletin;https://static.baza.farpost.ru/drom/1528912452002_default;https://baza.drom.ru/vladivostok/wheel/disc/novye-dipovye-js-401-rota-volk-racing-te37-sl-r17-59816397.html;TE37 SL;"8.0x17"", 5x114.3, ET35, ЦО73.1 VOLK TE37 SL ";114.3;24900;29900;7475;WorldWheels;Новые! Диповые JS 401 Rota Volk Racing TE37 SL R17;Volk Racing TE37 SL (диповые);Литой;8.0
"8.0x17"", 5x100.00, 5x114.30, ЦО 73,1мм.";JS;JS;73.1;17;0;5;https://static.baza.farpost.ru/drom/1530961642219_bulletin;https://static.baza.farpost.ru/drom/1530961642219_default;https://baza.drom.ru/vladivostok/wheel/disc/novye-dipovye-js-105-hyper-r17-64794648.html;105;"8.0x17"", 5x114.3, ЦО73.1 JS 105 ";114.3;24900;29900;7475;WorldWheels;Новые! Диповые JS 105 Hyper R17;JS 105 (насыщенный) (диповые);Литой;8.0
"8.0x17"", 5x100.00, 5x114.30, ЦО 73,1мм.";JS;JS;73.1;17;0;5;https://static.baza.farpost.ru/drom/1530961642219_bulletin;https://static.baza.farpost.ru/drom/1530961642219_default;https://baza.drom.ru/vladivostok/wheel/disc/novye-dipovye-js-105-hyper-r17-64794648.html;105;"8.0x17"", 5x114.3, ЦО73.1 JS 105 ";114.3;24900;29900;7475;WorldWheels;Новые! Диповые JS 105 Hyper R17;JS 105 (насыщенный) (диповые);Литой;8.0
"7.0/8.0x16"", 4x100.00, 4x114.30, ET35/28, ЦО 73,1мм.";RAYS VOLK RACING TE37 SL;VOLK;73.1;16;28;4;https://static.baza.farpost.ru/drom/1528556609259_bulletin;https://static.baza.farpost.ru/drom/1528556609259_default;https://baza.drom.ru/vladivostok/wheel/disc/novye-dipovye-js-401-rota-volk-racing-te37-sl-r16-64098883.html;TE37 SL;"8.0x16"", 4x114.3, ET28, ЦО73.1 VOLK TE37 SL ";114.3;21900;26900;6725;WorldWheels;Новые! Диповые JS 401 Rota Volk Racing TE37 SL R16;Volk Racing TE37 SL (диповые);Литой;8.0
"7.0/8.0x16"", 4x100.00, 4x114.30, ET35/28, ЦО 73,1мм.";RAYS VOLK RACING TE37 SL;VOLK;73.1;16;28;4;https://static.baza.farpost.ru/drom/1528556609259_bulletin;https://static.baza.farpost.ru/drom/1528556609259_default;https://baza.drom.ru/vladivostok/wheel/disc/novye-dipovye-js-401-rota-volk-racing-te37-sl-r16-64098883.html;TE37 SL;"8.0x16"", 4x114.3, ET28, ЦО73.1 VOLK TE37 SL ";114.3;21900;26900;6725;WorldWheels;Новые! Диповые JS 401 Rota Volk Racing TE37 SL R16;Volk Racing TE37 SL (диповые);Литой;8.0
"7.0/8.0x16"", 4x100.00, 4x114.30, ET35/28, ЦО 73,1мм.";RAYS VOLK RACING TE37 SL;VOLK;73.1;16;28;4;https://static.baza.farpost.ru/drom/1528556609259_bulletin;https://static.baza.farpost.ru/drom/1528556609259_default;https://baza.drom.ru/vladivostok/wheel/disc/novye-dipovye-js-401-rota-volk-racing-te37-sl-r16-64098883.html;TE37 SL;"8.0x16"", 4x114.3, ET28, ЦО73.1 VOLK TE37 SL ";114.3;21900;26900;6725;WorldWheels;Новые! Диповые JS 401 Rota Volk Racing TE37 SL R16;Volk Racing TE37 SL (диповые);Литой;8.0
"7.0/8.0x16"", 4x100.00, 4x114.30, ET35/28, ЦО 73,1мм.";RAYS VOLK RACING TE37 SL;VOLK;73.1;16;28;4;https://static.baza.farpost.ru/drom/1528556609259_bulletin;https://static.baza.farpost.ru/drom/1528556609259_default;https://baza.drom.ru/vladivostok/wheel/disc/novye-dipovye-js-401-rota-volk-racing-te37-sl-r16-64098883.html;TE37 SL;"8.0x16"", 4x114.3, ET28, ЦО73.1 VOLK TE37 SL ";114.3;21900;26900;6725;WorldWheels;Новые! Диповые JS 401 Rota Volk Racing TE37 SL R16;Volk Racing TE37 SL (диповые);Литой;8.0
"7.0/8.0x16"", 4x100.00, 4x114.30, ET35/28, ЦО 73,1мм.";RAYS VOLK RACING TE37 SL;VOLK;73.1;16;28;4;https://static.baza.farpost.ru/drom/1528556609259_bulletin;https://static.baza.farpost.ru/drom/1528556609259_default;https://baza.drom.ru/vladivostok/wheel/disc/novye-dipovye-js-401-rota-volk-racing-te37-sl-r16-64098883.html;TE37 SL;"8.0x16"", 4x114.3, ET28, ЦО73.1 VOLK TE37 SL ";114.3;21900;26900;6725;WorldWheels;Новые! Диповые JS 401 Rota Volk Racing TE37 SL R16;Volk Racing TE37 SL (диповые);Литой;8.0
"7.0/8.0x16"", 4x100.00, 4x114.30, ET35/28, ЦО 73,1мм.";RAYS VOLK RACING TE37 SL;VOLK;73.1;16;28;4;https://static.baza.farpost.ru/drom/1528556609259_bulletin;https://static.baza.farpost.ru/drom/1528556609259_default;https://baza.drom.ru/vladivostok/wheel/disc/novye-dipovye-js-401-rota-volk-racing-te37-sl-r16-64098883.html;TE37 SL;"8.0x16"", 4x114.3, ET28, ЦО73.1 VOLK TE37 SL ";114.3;21900;26900;6725;WorldWheels;Новые! Диповые JS 401 Rota Volk Racing TE37 SL R16;Volk Racing TE37 SL (диповые);Литой;8.0
